1264926927	20250924	202509	2025	2025.7233											COP	POLICE						COP			0	010	010	01	1	0.0	2	1	2	-11.2224448897796	0								5	Bauchi State, Bauchi, Nigeria	NI	NI46	22661	10.5	10	-2002332	5	Bauchi State, Bauchi, Nigeria	NI	NI46	22661	10.5	10	-2002332	20250924120000	https://www.naijanews.com/2025/09/24/14-suspects-arrested-as-police-uncover-%E2%82%A64-8-billion-kainji-power-plant-theft/
1264926928	20250924	202509	2025	2025.7233											COP	POLICE						COP			0	010	010	01	1	0.0	8	1	8	-11.2224448897796	0								4	Minna, Niger, Nigeria	NI	NI31	191124	9.61389	6.55694	-2019717	4	Minna, Niger, Nigeria	NI	NI31	191124	9.61389	6.55694	-2019717	20250924120000	https://www.naijanews.com/2025/09/24/14-suspects-arrested-as-police-uncover-%E2%82%A64-8-billion-kainji-power-plant-theft/
1264926929	20250924	202509	2025	2025.7233											COP	DEPUTIES						COP			0	010	010	01	1	0.0	3	1	3	-6.65236051502146	0								3	Desoto Parish, Louisiana, United States	US	USLA		32.0668	-93.7669	558521	3	Desoto Parish, Louisiana, United States	US	USLA		32.0668	-93.7669	558521	20250924120000	https://sacobserver.com/2025/09/a-brutal-beating-by-deputies-was-caught-on-tape-they-were-cleared-by-state-police-anyway/
1264926930	20250924	202509	2025	2025.7233											COP	DEPUTIES						COP			0	040	040	04	1	1.0	3	1	3	-6.65236051502146	0								3	Desoto Parish, Louisiana, United States	US	USLA		32.0668	-93.7669	558521	3	Desoto Parish, Louisiana, United States	US	USLA		32.0668	-93.7669	558521	20250924120000	https://sacobserver.com/2025/09/a-brutal-beating-by-deputies-was-caught-on-tape-they-were-cleared-by-state-police-anyway/
1264926931	20250924	202509	2025	2025.7233											COP	POLICE						COP			0	041	041	04	1	1.0	2	1	2	-9.01960784313725	0								4	Benue, Nigeria (general), Nigeria	NI	NI00	191172	8.31667	8.51667	-2002531	4	Benue, Nigeria (general), Nigeria	NI	NI00	191172	8.31667	8.51667	-2002531	20250924120000	https://dailypost.ng/2025/09/24/benue-man-arrested-over-fraud-case-dies-in-police-custody/
1264926932	20250924	202509	2025	2025.7233											COP	POLICE						COP			1	043	043	04	1	2.8	2	1	2	-2.82258064516129	0								3	Pittsfield, Michigan, United States	US	USMI	MI161	42.2103	-83.7241	635060	3	Pittsfield, Michigan, United States	US	USMI	MI161	42.2103	-83.7241	635060	20250924120000	https://www.cbsnews.com/detroit/news/pittsfield-township-shelter-in-place-order-lifted-after-police-determine-no-assault-happened/
1264926933	20250924	202509	2025	2025.7233											COP	POLICE						COP			1	051	051	05	1	3.4	1	1	1	-3.59712230215827	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250924120000	https://www.bloomberg.com/opinion/articles/2025-09-24/nyc-mayoral-election-disaster-is-bigger-than-mamdani-and-his-foes
1264926934	20250924	202509	2025	2025.7233											COP	DEPUTIES						COP			1	080	080	08	2	5.0	2	1	2	-6.65236051502146	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20250924120000	https://sacobserver.com/2025/09/a-brutal-beating-by-deputies-was-caught-on-tape-they-were-cleared-by-state-police-anyway/
1264926935	20250924	202509	2025	2025.7233											COP	POLICE PERSONNEL						COP			1	0841	084	08	2	7.0	6	1	6	-5.15947467166979	0								4	Yenagoa, Bayelsa, Nigeria	NI	NI52	191383	4.92472	6.26417	-2031706	4	Yenagoa, Bayelsa, Nigeria	NI	NI52	191383	4.92472	6.26417	-2031706	20250924120000	https://saharareporters.com/2025/09/24/murder-bayelsa-estate-agent-suspect-allegedly-offers-n4million-bribe-immigration-police
1264926936	20250924	202509	2025	2025.7233											COP	POLICE PERSONNEL						COP			1	0841	084	08	2	7.0	4	1	4	-5.15947467166979	0								5	Bayelsa State, Bayelsa, Nigeria	NI	NI52	191393	4.75	6.08333	9098614	5	Bayelsa State, Bayelsa, Nigeria	NI	NI52	191393	4.75	6.08333	9098614	20250924120000	https://saharareporters.com/2025/09/24/murder-bayelsa-estate-agent-suspect-allegedly-offers-n4million-bribe-immigration-police
