1263865664	20250918	202509	2025	2025.7068											BUS	COMPANIES						BUS			1	045	045	04	1	5.0	5	1	5	3.36134453781513	0								4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20250918141500	https://www.trend.az/business/4092418.html
1263865665	20250918	202509	2025	2025.7068											CHN	BEIJING	CHN								1	042	042	04	1	1.9	2	1	2	5.24781341107871	0								4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	20250918141500	https://africa.com/cape-town-to-host-global-summit-on-gender-equality-in-agri-food-and-water-systems/
1263865666	20250918	202509	2025	2025.7068											CHN	CHINA	CHN								1	042	042	04	1	1.9	4	1	4	1.15606936416185	0								4	Hekou, Guangdong, China	CH	CH30	13042	21.9621	111.67	-1908828	4	Hekou, Guangdong, China	CH	CH30	13042	21.9621	111.67	-1908828	20250918141500	https://www.chinadaily.com.cn/a/202509/18/WS68cbfc99a3108622abca18e7.html
1263865667	20250918	202509	2025	2025.7068											COP	CONSTABLE						COP			1	013	013	01	1	0.4	10	1	10	3.64741641337386	0								4	Inverness, Highland, United Kingdom	UK	UKV3	40172	57.4667	-4.23333	-2599537	4	Inverness, Highland, United Kingdom	UK	UKV3	40172	57.4667	-4.23333	-2599537	20250918141500	https://www.northern-times.co.uk/news/railway-police-numbers-to-increase-392512/
1263865668	20250918	202509	2025	2025.7068											COP	POLICE						COP			1	040	040	04	1	1.0	10	1	10	1.31578947368421	0								3	West High School, Iowa, United States	US	USIA		41.537	-90.6271	462865	3	West High School, Iowa, United States	US	USIA		41.537	-90.6271	462865	20250918141500	https://www.ktiv.com/2025/09/18/west-high-west-middle-issue-brief-secure-status-thursday-morning/
1263865669	20250918	202509	2025	2025.7068											COP	PRISON						COP			1	042	042	04	1	1.9	10	1	10	-3.61930294906166	0								4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20250918141500	https://allafrica.com/stories/202509180528.html
1263865670	20250918	202509	2025	2025.7068											COP	POLICE						COP			0	043	043	04	1	2.8	2	1	2	-4.76190476190477	0								5	Cambridgeshire, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.3333	0.083333	-2591659	5	Cambridgeshire, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.3333	0.083333	-2591659	20250918141500	https://www.cambridge-news.co.uk/news/cambridge-news/woman-taken-hospital-after-multi-32501630
1263865671	20250918	202509	2025	2025.7068											COP	DEPUTIES						COP			1	043	043	04	1	2.8	10	1	10	-10.0961538461539	0								3	Guilford County, North Carolina, United States	US	USNC		36.0668	-79.7998	1008558	3	Guilford County, North Carolina, United States	US	USNC		36.0668	-79.7998	1008558	20250918141500	https://www.the-dispatch.com/news/crime/man-accused-of-murder-but-body-missing/article_a098d695-49e0-58fb-bea7-754a771db8c8.html
1263865672	20250918	202509	2025	2025.7068											COP	DEPUTIES						COP			1	043	043	04	1	2.8	6	1	6	-0.27173913043478	0								3	South Fork, Colorado, United States	US	USCO		37.67	-106.64	203420	3	South Fork, Colorado, United States	US	USCO		37.67	-106.64	203420	20250918141500	https://www.cbsnews.com/news/missing-hunters-new-mexico-rio-grande-national-forest/
1263865673	20250918	202509	2025	2025.7068											COP	DEPUTIES						COP			1	043	043	04	1	2.8	4	1	4	-0.27173913043478	0								2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20250918141500	https://www.cbsnews.com/news/missing-hunters-new-mexico-rio-grande-national-forest/
