1272979182	20251008	202510	2025	2025.7616	GBR	BRITISH	GBR								GOV	MINIST						GOV			0	057	057	05	1	8.0	1	1	1	-6.90954773869347	4	Cheltenham, Gloucestershire, United Kingdom	UK	UKE6	40113	51.9	-2.08333	-2592344	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Cheltenham, Gloucestershire, United Kingdom	UK	UKE6	40113	51.9	-2.08333	-2592344	20251107140000	https://www.dailymail.co.uk/news/article-15269293/First-picture-death-row-grandmother-Lindsay-Sandiford-British-soil-returns-Bali-heading-prison-shes-returned.html
1272979183	20251008	202510	2025	2025.7616	GBR	BRITISH	GBR								GOV	MINIST						GOV			0	057	057	05	1	8.0	1	1	1	-6.90954773869347	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	20251107140000	https://www.dailymail.co.uk/news/article-15269293/First-picture-death-row-grandmother-Lindsay-Sandiford-British-soil-returns-Bali-heading-prison-shes-returned.html
1272979184	20251008	202510	2025	2025.7616	GBRGOV	BRITISH	GBR					GOV			GOV	MINIST						GOV			0	057	057	05	1	8.0	6	1	6	-6.90954773869347	4	Cheltenham, Gloucestershire, United Kingdom	UK	UKE6	40113	51.9	-2.08333	-2592344	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Cheltenham, Gloucestershire, United Kingdom	UK	UKE6	40113	51.9	-2.08333	-2592344	20251107140000	https://www.dailymail.co.uk/news/article-15269293/First-picture-death-row-grandmother-Lindsay-Sandiford-British-soil-returns-Bali-heading-prison-shes-returned.html
1272979185	20251008	202510	2025	2025.7616	GOV	MINIST						GOV			GBR	BRITISH	GBR								0	057	057	05	1	8.0	1	1	1	-6.90954773869347	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	20251107140000	https://www.dailymail.co.uk/news/article-15269293/First-picture-death-row-grandmother-Lindsay-Sandiford-British-soil-returns-Bali-heading-prison-shes-returned.html
1272979186	20251008	202510	2025	2025.7616	GOV	MINIST						GOV			GBR	BRITISH	GBR								0	057	057	05	1	8.0	1	1	1	-6.90954773869347	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Cheltenham, Gloucestershire, United Kingdom	UK	UKE6	40113	51.9	-2.08333	-2592344	4	Cheltenham, Gloucestershire, United Kingdom	UK	UKE6	40113	51.9	-2.08333	-2592344	20251107140000	https://www.dailymail.co.uk/news/article-15269293/First-picture-death-row-grandmother-Lindsay-Sandiford-British-soil-returns-Bali-heading-prison-shes-returned.html
1272979187	20251008	202510	2025	2025.7616	GOV	MINIST						GOV			GBRGOV	BRITISH	GBR					GOV			0	057	057	05	1	8.0	6	1	6	-6.90954773869347	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Cheltenham, Gloucestershire, United Kingdom	UK	UKE6	40113	51.9	-2.08333	-2592344	4	Cheltenham, Gloucestershire, United Kingdom	UK	UKE6	40113	51.9	-2.08333	-2592344	20251107140000	https://www.dailymail.co.uk/news/article-15269293/First-picture-death-row-grandmother-Lindsay-Sandiford-British-soil-returns-Bali-heading-prison-shes-returned.html
1272979188	20251008	202510	2025	2025.7616	USA	THE US	USA								AUS	AUSTRALIA	AUS								0	057	057	05	1	8.0	8	1	8	1.93003618817853	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20251107140000	https://www.fastmarkets.com/insights/critical-minerals-financing-andrea-hotter/
1272979189	20251008	202510	2025	2025.7616	USA	UNITED STATES	USA								USAMED	REUTERS	USA					MED			1	013	013	01	1	0.4	4	1	4	0.33222591362126	2	Nevada, United States	US	USNV		38.4199	-117.122	NV	2	Nevada, United States	US	USNV		38.4199	-117.122	NV	2	Nevada, United States	US	USNV		38.4199	-117.122	NV	20251107140000	https://www.marketscreener.com/news/newmont-cuts-16-of-workforce-in-restructuring-after-newcrest-deal-memo-ce7d5fdadd89f52d
1272979190	20251008	202510	2025	2025.7616	USACVL	CALIFORNIA	USA					CVL			EDU	COLLEGE						EDU			0	042	042	04	1	1.9	6	1	6	0.11409013120365	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20251107140000	https://www.chicoer.com/2025/11/07/25-years-ago-mulholland-is-off-to-florida-to-aid-in-recount-news-of-our-past-nov-7-13-2025/
1272979191	20251106	202511	2025	2025.8384	AFG	AFGHANISTAN	AFG								PAK	ISLAMABAD	PAK								1	040	040	04	1	1.0	2	1	2	-4.35540069686411	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20251107140000	https://www.geo.tv/latest/632503-istanbul-talks-pakistan-presents-evidence-based-demands-to-end-cross-border-terrorism
