1263377647	20250915	202509	2025	2025.6986	GUYJUD	DEMERARA	GUY					JUD			COP	POLICEMAN						COP			1	173	173	17	4	-5.0	6	1	6	-11.1111111111111	4	Cummings Lodge, Demerara-Mahaica, Guyana	GY	GY12	17145	6.79964	-58.1144	-919465	4	Cummings Lodge, Demerara-Mahaica, Guyana	GY	GY12	17145	6.79964	-58.1144	-919465	4	Cummings Lodge, Demerara-Mahaica, Guyana	GY	GY12	17145	6.79964	-58.1144	-919465	20250916073000	https://www.stabroeknews.com/2025/09/16/news/guyana/ex-policeman-on-trial-over-mfk-owner-murder/
1263377648	20250915	202509	2025	2025.6986	GUYJUD	DEMERARA	GUY					JUD			COP	POLICEMAN						COP			1	173	173	17	4	-5.0	2	1	2	-11.1111111111111	4	Cummings Lodge, Demerara-Mahaica, Guyana	GY	GY12	17145	6.79964	-58.1144	-919465	4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	20250916073000	https://www.stabroeknews.com/2025/09/16/news/guyana/ex-policeman-on-trial-over-mfk-owner-murder/
1263377649	20250915	202509	2025	2025.6986	GUYJUD	DEMERARA	GUY					JUD			COP	POLICEMAN						COP			1	173	173	17	4	-5.0	2	1	2	-11.1111111111111	4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	20250916073000	https://www.stabroeknews.com/2025/09/16/news/guyana/ex-policeman-on-trial-over-mfk-owner-murder/
1263377650	20250915	202509	2025	2025.6986	MED	NEWSPAPER						MED			HLH	HOSPITAL						HLH			1	020	020	02	1	3.0	6	1	6	-3.36538461538462	4	Georgetown, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.15	-919880	4	Georgetown, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.15	-919880	4	Georgetown, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.15	-919880	20250916073000	https://www.stabroeknews.com/2025/09/16/news/guyana/triangular-love-affair-behind-east-st-acid-attack-police/
1263377651	20250916	202509	2025	2025.7014											AFR	AFRICA	AFR								1	036	036	03	1	4.0	4	1	4	2.9616724738676	0								1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20250916073000	https://www.georgeherald.com/News/Article/Business/8-things-you-probably-don-t-know-about-wills-but-really-should-202509151241
1263377652	20250916	202509	2025	2025.7014											AGR	FARMER						AGR			1	014	014	01	1	0.0	5	1	5	1.72413793103448	0								0								0								20250916073000	https://www.wbrz.com/news/we-re-in-for-a-good-one-sugarcane-harvest-season-begins
1263377653	20250916	202509	2025	2025.7014											AUS	AUSTRALIA	AUS								1	043	043	04	1	2.8	1	1	1	-2.15686274509804	0								4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20250916073000	https://www.watoday.com.au/culture/theatre/craig-mclachlan-abandons-return-to-the-stage-amid-backlash-20250916-p5mvd5.html
1263377654	20250916	202509	2025	2025.7014											AUS	AUSTRALIA	AUS								0	043	043	04	1	2.8	4	2	4	-5.40509342760263	0								4	Falls Creek, New South Wales, Australia	AS	AS02	5081	-34.9667	150.6	-1572933	4	Mount Hotham, Victoria, Australia	AS	AS07	154649	-36.9751	147.133	-1578928	20250916073000	https://www.theleader.com.au/story/9067796/it-starts-to-hurt-a-lot-big-toll-of-deaths-manhunt/
1263377655	20250916	202509	2025	2025.7014											AUS	AUSTRALIA	AUS								0	043	043	04	1	2.8	4	2	4	-5.40509342760263	0								4	Mount Hotham, Victoria, Australia	AS	AS07	154649	-36.9751	147.133	-1578928	4	Mount Hotham, Victoria, Australia	AS	AS07	154649	-36.9751	147.133	-1578928	20250916073000	https://www.theleader.com.au/story/9067796/it-starts-to-hurt-a-lot-big-toll-of-deaths-manhunt/
1263377656	20250916	202509	2025	2025.7014											AUS	AUSTRALIA	AUS								1	112	112	11	3	-2.0	8	2	8	-5.40509342760263	0								4	Porepunkah, Victoria, Australia	AS	AS07	154644	-36.6961	146.91	-1595826	4	Porepunkah, Victoria, Australia	AS	AS07	154644	-36.6961	146.91	-1595826	20250916073000	https://www.theleader.com.au/story/9067796/it-starts-to-hurt-a-lot-big-toll-of-deaths-manhunt/
1263377657	20250916	202509	2025	2025.7014											AUS	AUSTRALIA	AUS								1	193	193	19	4	-10.0	8	2	8	-5.40509342760263	0								4	Porepunkah, Victoria, Australia	AS	AS07	154644	-36.6961	146.91	-1595826	4	Porepunkah, Victoria, Australia	AS	AS07	154644	-36.6961	146.91	-1595826	20250916073000	https://www.theleader.com.au/story/9067796/it-starts-to-hurt-a-lot-big-toll-of-deaths-manhunt/
1263377658	20250916	202509	2025	2025.7014											BUS	INDUSTRY						BUS			1	013	013	01	1	0.4	3	1	3	4.35132957292506	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250916073000	https://www.thebusinessdesk.com/yorkshire/news/2143900-people-cushman-wakefield-powerstar-ward-hadaway-and-more/
1263377659	20250916	202509	2025	2025.7014											BUS	BOSS						BUS			1	020	020	02	1	3.0	6	1	6	-5.15463917525773	0								1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20250916073000	https://www.independent.ie/irish-news/insurance-industry-is-holding-the-country-to-ransom-supermacs-boss-pat-mcdonagh-calls-for-inquiry/a1086843099.html
1263377660	20250916	202509	2025	2025.7014											BUS	COMPANY						BUS			1	057	057	05	1	8.0	10	1	10	1.5267175572519	0								1	Mauritius	MP	MP		16	146	MP	1	Mauritius	MP	MP		16	146	MP	20250916073000	https://www.ecofinagency.com/news-infrastructures/1609-48710-india-s-servotech-enters-mauritius-ev-charging-market-with-enovra-deal
1263377661	20250916	202509	2025	2025.7014											BUS	INDUSTRY						BUS			0	112	112	11	3	-2.0	6	1	6	-1.21359223300971	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20250916073000	https://indianexpress.com/article/opinion/columns/a-cancelled-show-won-the-emmy-and-thats-the-whole-story-10252836/
1263377662	20250916	202509	2025	2025.7014											BUS	INDUSTRY						BUS			1	112	112	11	3	-2.0	6	1	6	-5.15463917525773	0								1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20250916073000	https://www.independent.ie/irish-news/insurance-industry-is-holding-the-country-to-ransom-supermacs-boss-pat-mcdonagh-calls-for-inquiry/a1086843099.html
1263377663	20250916	202509	2025	2025.7014											BUS	INDUSTRY						BUS			0	112	112	11	3	-2.0	4	1	4	-1.21359223300971	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250916073000	https://indianexpress.com/article/opinion/columns/a-cancelled-show-won-the-emmy-and-thats-the-whole-story-10252836/
1263377664	20250916	202509	2025	2025.7014											COP	POLICE OFFICER						COP			0	042	042	04	1	1.9	6	1	6	-5.92823712948518	0								1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20250916073000	https://www.abc.net.au/news/2025-09-16/elaine-arch-rowe-euthanasia-drug-accused-granted-bail/105777878
1263377665	20250916	202509	2025	2025.7014											CVL	RESIDENTS						CVL			0	0256	025	02	1	-0.3	10	1	10	-6.76691729323308	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250916073000	https://www.newsweek.com/israel-defense-minister-gaza-city-burning-2130398
1263377666	20250916	202509	2025	2025.7014											CVL	RESIDENTS						CVL			0	036	036	03	1	4.0	3	1	3	-3.9647577092511	0								3	City Of Sacramento, California, United States	US	USCA		38.5655	-121.468	2411751	3	City Of Sacramento, California, United States	US	USCA		38.5655	-121.468	2411751	20250916073000	https://www.abc10.com/article/news/local/natomas/city-of-sacramento-eyes-4-homeless-housing-sites-including-tiny-home-lot-for-seniors/103-48d6bba1-fa65-4a8f-8aec-aa76495b3eb9
1263377667	20250916	202509	2025	2025.7014											CVL	COMMUNITY						CVL			1	040	040	04	1	1.0	10	1	10	1.37741046831956	0								2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20250916073000	https://iowastatedaily.com/321647/news/how-students-are-still-using-the-center-despite-changes/
1263377668	20250916	202509	2025	2025.7014											CVL	POPULATION						CVL			0	120	120	12	3	-4.0	5	1	5	-0.1081081081081	0								4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20250916073000	https://www.shetnews.co.uk/2025/09/16/majority-favour-powers-debate-needed/
1263377669	20250916	202509	2025	2025.7014											EDU	SCHOOL						EDU			0	036	036	03	1	4.0	10	1	10	3.25264750378214	0								3	North Adams, Massachusetts, United States	US	USMA		42.7009	-73.1087	607610	3	North Adams, Massachusetts, United States	US	USMA		42.7009	-73.1087	607610	20250916073000	https://www.iberkshires.com/story/80248/North-Adams-School-District-Starts-New-Year-With-New-Faces.html%20class=
1263377670	20250916	202509	2025	2025.7014											EDU	SCHOOL						EDU			0	042	042	04	1	1.9	5	1	5	-2.14797136038186	0								4	Schloss Goldenstein, Salzburg, Austria	AU	AU05	5638	47.7589	13.0817	6009642	4	Schloss Goldenstein, Salzburg, Austria	AU	AU05	5638	47.7589	13.0817	6009642	20250916073000	https://www.independent.ie/world-news/europe/nuns-on-the-run-flee-care-home-and-return-to-abandoned-convent/a879397027.html
1263377671	20250916	202509	2025	2025.7014											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	6	1	6	-3.07692307692308	0								2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	20250916073000	https://www.yankton.net/community/article_ee68cb47-6d84-4f8b-9de2-0cd7d8bff2b5.html
1263377672	20250916	202509	2025	2025.7014											EDU	UNIVERSITY						EDU			0	043	043	04	1	2.8	8	1	8	-0.55350553505535	0								2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	20250916073000	https://www.vindy.com/life/lifestyles/2025/09/emotions-mixed-after-kids-move-out/
1263377673	20250916	202509	2025	2025.7014											EDU	SCHOOL						EDU			0	046	046	04	1	7.0	5	1	5	-3.07692307692308	0								2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	20250916073000	https://www.yankton.net/community/article_ee68cb47-6d84-4f8b-9de2-0cd7d8bff2b5.html
