1268082312	20251011	202510	2025	2025.7699											BHS	NASSAU	BHS								0	043	043	04	1	2.8	2	1	2	-6.57894736842105	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20251011184500	https://www.cruiselawnews.com/2019/10/articles/sexual-assault-exploitation/police-disney-youth-counselor-molested-10-year-old-child-on-disney-magic/
1268082313	20251011	202510	2025	2025.7699											BUS	BANK						BUS			1	043	043	04	1	2.8	1	1	1	1.78041543026706	0								4	Banks Peninsula, New Zealand (general), New Zealand	NZ	NZ00	22391	-43.75	173	-1507063	4	Banks Peninsula, New Zealand (general), New Zealand	NZ	NZ00	22391	-43.75	173	-1507063	20251011184500	https://www.smh.com.au/lifestyle/life-and-relationships/the-best-hikes-on-nz-s-south-island-are-accessible-in-a-tiny-campervan-20250926-p5my51.html
1268082314	20251011	202510	2025	2025.7699											BUS	INVESTOR						BUS			1	046	046	04	1	7.0	6	1	6	2.64900662251656	0								5	Madhya Pradesh, Madhya Pradesh, India	IN	IN35	17744	23.5	78.5	-2103026	5	Madhya Pradesh, Madhya Pradesh, India	IN	IN35	17744	23.5	78.5	-2103026	20251011184500	https://www.indiablooms.com/travel/madhya-pradesh-travel-mart-to-be-held-annually-on-oct-11-13-announces-state-cm-mohan-yadav/details
1268082315	20251011	202510	2025	2025.7699											CAN	ALBERTA	CAN								1	033	033	03	1	5.2	10	1	10	1.76470588235294	0								4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	20251011184500	https://passages.winnipegfreepress.com/passage-details/id-333063/Cairns_%20Richard%20allan%20(dick)
1268082316	20251011	202510	2025	2025.7699											CAN	CANADA	CAN								1	042	042	04	1	1.9	5	1	5	5.9967585089141	0								4	Timna, Romania (general), Romania	RO	RO00	25013	44.5667	23.0167	-1172415	4	Timna, Romania (general), Romania	RO	RO00	25013	44.5667	23.0167	-1172415	20251011184500	https://passages.winnipegfreepress.com/passage-details/id-333102/Muller_%20Teddy
1268082317	20251011	202510	2025	2025.7699											CAN	CANADA	CAN								1	042	042	04	1	1.9	1	1	1	5.9967585089141	0								4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	20251011184500	https://passages.winnipegfreepress.com/passage-details/id-333102/Muller_%20Teddy
1268082318	20251011	202510	2025	2025.7699											CAN	CANADA	CAN								1	160	160	16	4	-4.0	6	1	6	5.9967585089141	0								4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	20251011184500	https://passages.winnipegfreepress.com/passage-details/id-333102/Muller_%20Teddy
1268082319	20251011	202510	2025	2025.7699											CHN	CHINA	CHN								0	051	051	05	1	3.4	10	1	10	3.44827586206896	0								5	Heilongjiang, Heilongjiang, China	CH	CH08	13097	48	128	-1908709	5	Heilongjiang, Heilongjiang, China	CH	CH08	13097	48	128	-1908709	20251011184500	https://www.miragenews.com/centimeter-scale-quadruped-piezoelectric-robot-1549762/
1268082320	20251011	202510	2025	2025.7699											CRM	CRIMINAL						CRM			0	112	112	11	3	-2.0	10	1	10	-8.8235294117647	0								4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	20251011184500	https://timesofindia.indiatimes.com/city/patna/criminal-shot-after-dispute-in-fatuha/articleshow/124487371.cms
1268082321	20251011	202510	2025	2025.7699											CVL	RESIDENTS						CVL			0	020	020	02	1	3.0	10	1	10	-3.35195530726257	0								3	Islip, New York, United States	US	USNY	NY103	40.7298	-73.2104	953841	3	Islip, New York, United States	US	USNY	NY103	40.7298	-73.2104	953841	20251011184500	https://www.newsday.com/news/weather/noreaster-rain-flooding-winds-mqtv603w
1268082322	20251011	202510	2025	2025.7699											CVL	SCIENTIST						CVL			1	0874	087	08	2	10.0	1	1	1	-2.734375	0								4	Kishanganj, Bihar, India	IN	IN34	17612	25.7	86.95	-2101073	4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	20251011184500	https://timesofindia.indiatimes.com/city/patna/monsoon-retreat-begins-dry-spell-ahead-imd/articleshow/124487472.cms
1268082323	20251011	202510	2025	2025.7699											CVL	SCIENTIST						CVL			1	0874	087	08	2	10.0	1	1	1	-2.734375	0								4	Purnia, Bihar, India	IN	IN34	17621	25.7833	87.4667	-2108426	4	Kishanganj, Bihar, India	IN	IN34	17612	25.7	86.95	-2101073	20251011184500	https://timesofindia.indiatimes.com/city/patna/monsoon-retreat-begins-dry-spell-ahead-imd/articleshow/124487472.cms
1268082324	20251011	202510	2025	2025.7699											CYM	GEORGE TOWN	CYM								1	190	190	19	4	-10.0	10	1	10	-1.85185185185186	0								0								0								20251011184500	https://thesun.my/malaysia-news/elderly-woman-found-dead-inside-locked-flat-in-ayer-itam-PD15078777
1268082325	20251011	202510	2025	2025.7699											EDU	UNIVERSITY						EDU			1	057	057	05	1	8.0	10	1	10	0.88235294117647	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20251011184500	https://www.perthnow.com.au/wa/perth/south/canning/curtin-university-signs-international-agreement-in-search-for-life-on-mars-c-20253402
1268082326	20251011	202510	2025	2025.7699											EUR	EUROPEAN	EUR								1	040	040	04	1	1.0	6	1	6	3.03347280334729	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251011184500	https://seenandheard-international.com/2025/10/ludic-balance-and-rigor-jeremy-denks-bach-at-the-armory-in-new-york/
1268082327	20251011	202510	2025	2025.7699											GOV	MINIST						GOV			0	010	010	01	1	0.0	9	3	9	-6.16045845272206	0								4	Soanierana, Toamasina, Madagascar	MA	MA04	154529	-16.9216	49.5857	-221647	4	Soanierana, Toamasina, Madagascar	MA	MA04	154529	-16.9216	49.5857	-221647	20251011184500	https://www.hometownregister.com/news/national/madagascar-soldiers-join-protestors-as-thousands-gather-in-antananarivo/article_522b0342-69c4-5a1a-9164-ebda756ab813.html
1268082328	20251011	202510	2025	2025.7699											GOV	GOVERNMENT						GOV			0	014	014	01	1	0.0	2	1	2	-4.42708333333334	0								4	Whitehall, Orkney Islands, United Kingdom	UK	UKV9	40174	59.15	-2.61667	-2611570	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251011184500	https://www.independent.co.uk/news/uk/home-news/palestine-protest-london-gaza-israel-b2843665.html
1268082329	20251011	202510	2025	2025.7699											GOV	PRIME MINISTER						GOV			0	040	040	04	1	1.0	2	1	2	2.9723991507431	0								4	Pusa, Bihar, India	IN	IN34	17626	25.9833	85.6833	-2108437	4	Pusa, Bihar, India	IN	IN34	17626	25.9833	85.6833	-2108437	20251011184500	https://news.webindia123.com/news/Articles/India/20251011/4371562.html
1268082330	20251011	202510	2025	2025.7699											GOV	HOME MINIST						GOV			1	040	040	04	1	1.0	1	1	1	-0.27397260273972	0								4	Nadda, Uttaranchal, India	IN	IN39	17910	29.8675	78.5822	6241460	4	Nadda, Uttaranchal, India	IN	IN39	17910	29.8675	78.5822	6241460	20251011184500	https://www.theweek.in/news/india/2025/10/11/bihar-election-2025-nda-seat-sharing-blueprint-ready-ahead-of-october-12-delhi-meeting.html
1268082331	20251011	202510	2025	2025.7699											GOV	GOVERNMENT						GOV			1	042	042	04	1	1.9	10	1	10	7.09914320685434	0								1	Hong Kong	HK	HK		22.25	114.166667	HK	1	Hong Kong	HK	HK		22.25	114.166667	HK	20251011184500	https://www.thailand-business-news.com/pr-news/lianlian-digitech-signs-partnership-with-hksar-government-as-a-strategic-enterprise-to-help-build-a-modern-digital-payments-ecosystem
1268082332	20251011	202510	2025	2025.7699											GOV	MINIST						GOV			0	100	100	10	3	-5.0	9	3	9	-6.16045845272206	0								4	Soanierana, Toamasina, Madagascar	MA	MA04	154529	-16.9216	49.5857	-221647	4	Soanierana, Toamasina, Madagascar	MA	MA04	154529	-16.9216	49.5857	-221647	20251011184500	https://www.hometownregister.com/news/national/madagascar-soldiers-join-protestors-as-thousands-gather-in-antananarivo/article_522b0342-69c4-5a1a-9164-ebda756ab813.html
