1267393729	20251007	202510	2025	2025.7589	USABUS	ALASKA	USA					BUS													0	036	036	03	1	4.0	6	1	6	6.68079272092734	2	Alaska, United States	US	USAK		61.385	-152.268	AK	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	20251008061500	https://www.futuretravelexperience.com/fte-emea/
1267393730	20251007	202510	2025	2025.7589	USABUS	UNITED STATES	USA					BUS			USA	ALASKA	USA								0	036	036	03	1	4.0	2	1	2	6.68079272092734	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20251008061500	https://www.futuretravelexperience.com/fte-emea/
1267393731	20251007	202510	2025	2025.7589	USABUS	UNITED STATES	USA					BUS			USA	UNITED STATES	USA								0	057	057	05	1	8.0	2	1	2	6.68079272092734	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20251008061500	https://www.futuretravelexperience.com/fte-emea/
1267393732	20251008	202510	2025	2025.7616											AFR	AFRICA	AFR								1	0353	035	03	1	7.0	5	1	5	3.05206463195692	0								1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20251008061500	http://businessghana.com/site/news/general/335890/African-Leaders-to-champion-reparations
1267393733	20251008	202510	2025	2025.7616											AUS	AUSTRALIA	AUS								0	042	042	04	1	1.9	12	2	12	-7.25448580820787	0								4	Dubbo, New South Wales, Australia	AS	AS02	5096	-32.243	148.605	-1570695	4	Dubbo, New South Wales, Australia	AS	AS02	5096	-32.243	148.605	-1570695	20251008061500	https://www.westernadvocate.com.au/story/9084143/trial-into-alleged-shotgun-murder-on-farm-near-mudgee-begins/
1267393734	20251008	202510	2025	2025.7616											AUS	AUSTRALIA	AUS								0	042	042	04	1	1.9	2	2	2	-7.25448580820787	0								4	Mudgee, New South Wales, Australia	AS	AS02	5096	-32.4333	149.583	-1589684	4	Mudgee, New South Wales, Australia	AS	AS02	5096	-32.4333	149.583	-1589684	20251008061500	https://www.westernadvocate.com.au/story/9084143/trial-into-alleged-shotgun-murder-on-farm-near-mudgee-begins/
1267393735	20251008	202510	2025	2025.7616											BUS	AIRLINE						BUS			0	036	036	03	1	4.0	15	1	10	6.68079272092734	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20251008061500	https://www.futuretravelexperience.com/fte-emea/
1267393736	20251008	202510	2025	2025.7616											BUS	AIRLINE						BUS			0	040	040	04	1	1.0	5	1	5	6.68079272092734	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20251008061500	https://www.futuretravelexperience.com/fte-emea/
1267393737	20251008	202510	2025	2025.7616											BUS	BUSINESS						BUS			1	040	040	04	1	1.0	5	1	5	0.49751243781095	0								1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20251008061500	http://www.businessghana.com/site/news/business/335865/Customer-Service-Week-renews-pressure-on-Ghanaian-businesses-to-prioritise-client-experience
1267393738	20251008	202510	2025	2025.7616											BUS	COMPANIES						BUS			0	043	043	04	1	2.8	10	1	10	6.68079272092734	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20251008061500	https://www.futuretravelexperience.com/fte-emea/
