1262079029	20250909	202509	2025	2025.6822											CRM	CRIMINAL						CRM			0	112	112	11	3	-2.0	6	1	6	-5.29953917050691	0								4	Birnin Gwari, Kaduna, Nigeria	NI	NI23	22817	10.6624	6.54373	-2002741	4	Kaduna, Kaduna, Nigeria	NI	NI23	22832	10.5231	7.44028	-2014086	20250909090000	https://saharareporters.com/2025/09/09/serving-councillor-abducted-southern-kaduna-bandits-regains-freedom
1262079030	20250909	202509	2025	2025.6822											CRM	CRIMINAL						CRM			0	112	112	11	3	-2.0	1	1	1	-5.29953917050691	0								4	Kaduna, Kaduna, Nigeria	NI	NI23	22832	10.5231	7.44028	-2014086	4	Birnin Gwari, Kaduna, Nigeria	NI	NI23	22817	10.6624	6.54373	-2002741	20250909090000	https://saharareporters.com/2025/09/09/serving-councillor-abducted-southern-kaduna-bandits-regains-freedom
1262079031	20250909	202509	2025	2025.6822											CRM	CRIMINAL						CRM			0	190	190	19	4	-10.0	6	1	6	-5.29953917050691	0								4	Birnin Gwari, Kaduna, Nigeria	NI	NI23	22817	10.6624	6.54373	-2002741	4	Kaduna, Kaduna, Nigeria	NI	NI23	22832	10.5231	7.44028	-2014086	20250909090000	https://saharareporters.com/2025/09/09/serving-councillor-abducted-southern-kaduna-bandits-regains-freedom
1262079032	20250909	202509	2025	2025.6822											CRM	CRIMINAL						CRM			0	190	190	19	4	-10.0	1	1	1	-5.29953917050691	0								4	Kaduna, Kaduna, Nigeria	NI	NI23	22832	10.5231	7.44028	-2014086	4	Birnin Gwari, Kaduna, Nigeria	NI	NI23	22817	10.6624	6.54373	-2002741	20250909090000	https://saharareporters.com/2025/09/09/serving-councillor-abducted-southern-kaduna-bandits-regains-freedom
1262079033	20250909	202509	2025	2025.6822											CRM	CRIMINAL						CRM			0	190	190	19	4	-10.0	2	1	2	-5.29953917050691	0								4	Kaduna, Kaduna, Nigeria	NI	NI23	22832	10.5231	7.44028	-2014086	4	Kaduna, Kaduna, Nigeria	NI	NI23	22832	10.5231	7.44028	-2014086	20250909090000	https://saharareporters.com/2025/09/09/serving-councillor-abducted-southern-kaduna-bandits-regains-freedom
1262079034	20250909	202509	2025	2025.6822											CVL	TRAVELER						CVL			1	036	036	03	1	4.0	10	1	10	8.24053452115815	0								5	Camiguin, Camiguin, Philippines	RP	RP17	24263	9.16667	124.75	-2419686	5	Camiguin, Camiguin, Philippines	RP	RP17	24263	9.16667	124.75	-2419686	20250909090000	https://www.moneycontrol.com/travel/9-hidden-southeast-asian-islands-you-ll-want-to-explore-now-photo-gallery-13532088.html
1262079035	20250909	202509	2025	2025.6822											CVL	VILLAGE						CVL			0	042	042	04	1	1.9	10	1	10	-3.89105058365758	0								4	Mango Creek, Stann Creek, Belize	BH	BH05	5860	16.5333	-88.4167	-1149726	4	Mango Creek, Stann Creek, Belize	BH	BH05	5860	16.5333	-88.4167	-1149726	20250909090000	https://www.7newsbelize.com/sstory.php?nid=75506
1262079036	20250909	202509	2025	2025.6822											CVL	VILLAGER						CVL			0	042	042	04	1	1.9	10	1	10	-6.63507109004739	0								4	Bwari, Nigeria (general), Nigeria	NI	NI00	191415	9.28333	7.38333	-2003559	4	Bwari, Nigeria (general), Nigeria	NI	NI00	191415	9.28333	7.38333	-2003559	20250909090000	https://saharareporters.com/2025/09/09/exclusive-how-nigerian-police-took-n5million-bribe-cover-murder-abuja-community-land
1262079037	20250909	202509	2025	2025.6822											CVL	COMMUNITY						CVL			1	043	043	04	1	2.8	10	1	10	3.37972166998012	0								4	Manning River, New South Wales, Australia	AS	AS02	5096	-31.8667	152.633	-1585641	4	Manning River, New South Wales, Australia	AS	AS02	5096	-31.8667	152.633	-1585641	20250909090000	https://www.manningrivertimes.com.au/story/9061827/naidoc-celebration-event-unites-preschool-children-in-taree/
1262079038	20250909	202509	2025	2025.6822											CVL	SETTLEMENT						CVL			1	0841	084	08	2	7.0	1	1	1	-8.92857142857141	0								4	Liaquatpur, Punjab, Pakistan	PK	PK04	23672	28.9333	70.95	-2767478	4	Chenab River, Pakistan (general), Pakistan	PK	PK00	23670	29.3481	71.0203	-3414606	20250909090000	https://dunyanews.tv/en/Pakistan/905446-sutlej-swells-after-india-releases-more-water-
