1270733266	20251026	202510	2025	2025.8110											AUS	AUSTRALIA	AUS								0	043	043	04	1	2.8	2	1	2	-2.60869565217391	0								4	Leichhardt Park, New South Wales, Australia	AS	AS02	154629	-33.8652	151.151	11354900	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20251026090000	http://www.redwatch.org.au/rwahist/media/060801b?month:int=11&year:int=2025&orig_query=
1270733267	20251026	202510	2025	2025.8110											AUS	AUSTRALIA	AUS								0	043	043	04	1	2.8	6	1	6	-2.60869565217391	0								4	Leichhardt Park, New South Wales, Australia	AS	AS02	154629	-33.8652	151.151	11354900	4	Leichhardt Park, New South Wales, Australia	AS	AS02	154629	-33.8652	151.151	11354900	20251026090000	http://www.redwatch.org.au/rwahist/media/060801b?month:int=11&year:int=2025&orig_query=
1270733268	20251026	202510	2025	2025.8110											BEL	BELGIAN	BEL								1	042	042	04	1	1.9	5	1	5	-3.62595419847328	0								1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	20251026090000	http://www.femalefirst.co.uk/tv/news/sir-stephen-fry-minutes-death-after-drug-alcohol-binge-1431969.html
1270733269	20251026	202510	2025	2025.8110											BRA	BRAZIL	BRA								1	014	014	01	1	0.0	4	1	4	-0.15748031496063	0								4	Brasilia, Distrito Federal, Brazil	BR	BR07	40202	-15.7833	-47.9167	-631243	4	Brasilia, Distrito Federal, Brazil	BR	BR07	40202	-15.7833	-47.9167	-631243	20251026090000	https://www.moneycontrol.com/world/trump-predicts-pretty-good-deals-with-brazil-in-lula-meeting-article-13632615.html
1270733270	20251026	202510	2025	2025.8110											BUS	COMPANY						BUS			0	014	014	01	1	0.0	6	1	6	0.49435028248588	0								3	Palo Alto, California, United States	US	USCA		37.4419	-122.143	277572	3	Palo Alto, California, United States	US	USCA		37.4419	-122.143	277572	20251026090000	https://www.businessinsider.com/rivian-also-e-bike-meet-executive-team-2025-10
1270733271	20251026	202510	2025	2025.8110											BUS	BANK						BUS			1	042	042	04	1	1.9	10	1	10	-0.21505376344086	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20251026090000	https://www.moneycontrol.com/news/business/personal-finance/why-unclaimed-deposits-keep-growing-and-how-to-track-what-s-yours-13632573.html
1270733272	20251026	202510	2025	2025.8110											BUS	BUSINESS						BUS			1	043	043	04	1	2.8	5	1	5	0.78247261345853	0								5	Herefordshire, Herefordshire, United Kingdom	UK	UKF7	40113	52.0833	-2.75	-2598551	5	Herefordshire, Herefordshire, United Kingdom	UK	UKF7	40113	52.0833	-2.75	-2598551	20251026090000	https://www.herefordtimes.com/news/25541942.westons-artistraw-feature-bbcs-countryfile/
1270733273	20251026	202510	2025	2025.8110											BUS	CONGLOMERATE						BUS			1	051	051	05	1	3.4	10	1	10	3.18840579710145	0								1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20251026090000	https://www.thenorthernecho.co.uk/news/25567024.babuls-in-talks-darlington-indoor-market-stall/
1270733274	20251026	202510	2025	2025.8110											BUS	COMPANY						BUS			1	061	061	06	2	6.4	15	1	10	0.81967213114754	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20251026090000	https://www.tickerreport.com/banking-finance/13212728/promising-small-cap-stocks-to-research-october-24th.html
1270733275	20251026	202510	2025	2025.8110											COP	POLICE						COP			1	042	042	04	1	1.9	6	1	6	-1.7467248908297	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20251026090000	https://www.hindustantimes.com/india-news/rajasthan-two-cousins-burnt-alive-one-injured-in-house-fire-in-barmer-101761468021006.html
