1263062791	20250914	202509	2025	2025.6959											CVL	CIVILIAN						CVL			1	190	190	19	4	-10.0	1	1	1	-6.8	0								4	Bashkortostan, Bashkortostan, Russia	RS	RS08	25087	56.2445	56.2518	10272783	1	China	CH	CH		35	105	CH	20250914101500	https://eaworldview.com/2025/09/ukraine-war-day-1298-kyivs-drones-strike-more-oil-refineries-inside-russia/
1263062792	20250914	202509	2025	2025.6959											ETH	ETHIOPIAN	ETH								0	042	042	04	1	1.9	2	1	2	1.72084130019121	0								4	Mount Guba, YeDebub Biheroch Bihereseboch na Hizboch, Ethiopia	ET	ET54	47701	7.18333	36.1667	-612317	4	Mount Guba, YeDebub Biheroch Bihereseboch na Hizboch, Ethiopia	ET	ET54	47701	7.18333	36.1667	-612317	20250914101500	https://www.ena.et/web/eng/w/eng_7327453
1263062793	20250914	202509	2025	2025.6959											GBR	UNITED KINGDOM	GBR								1	036	036	03	1	4.0	4	1	4	1.25	0								4	Gatwick, Surrey, United Kingdom	UK	UKN7	40133	51.1667	-0.183333	-2596850	4	Gatwick, Surrey, United Kingdom	UK	UKN7	40133	51.1667	-0.183333	-2596850	20250914101500	https://www.thesun.co.uk/travel/36621569/europe-cheap-beach-resort-flights/
1263062794	20250914	202509	2025	2025.6959											GBR	UNITED KINGDOM	GBR								1	036	036	03	1	4.0	1	1	1	1.25	0								4	Medulin, Istarska, Croatia	HR	HR04	14554	44.8225	13.935	-88846	4	Medulin, Istarska, Croatia	HR	HR04	14554	44.8225	13.935	-88846	20250914101500	https://www.thesun.co.uk/travel/36621569/europe-cheap-beach-resort-flights/
1263062795	20250914	202509	2025	2025.6959											GBROPP	UNITED KINGDOM	GBR					OPP			1	010	010	01	1	0.0	1	1	1	-5.75539568345323	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250914101500	https://www.ibtimes.co.uk/what-massive-unite-kingdom-march-london-reveals-about-british-politics-1744069
1263062796	20250914	202509	2025	2025.6959											GOV	PRIME MINISTER						GOV			1	051	051	05	1	3.4	3	1	3	8.93300248138958	0								1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	20250914101500	https://www.tag911.ae/news/local-news/sheikh-nahyan-hails-uaes-strong-ties-with-iran-during-community-celebration/
1263062797	20250914	202509	2025	2025.6959											GOV	PRESIDENT						GOV			0	111	111	11	3	-2.0	6	1	6	0.40420371867421	0								4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20250914101500	https://www.yahoo.com/news/articles/china-step-egypt-ethiopia-spar-093000051.html
1263062798	20250914	202509	2025	2025.6959											IGOBUSIMF	INTERNATIONAL MONETARY FUND		IMF				IGO	BUS		0	046	046	04	1	7.0	10	1	10	-2.57234726688102	0								4	Pirmahal, Punjab, Pakistan	PK	PK04	23679	30.7667	72.4333	-2771696	4	Pirmahal, Punjab, Pakistan	PK	PK04	23679	30.7667	72.4333	-2771696	20250914101500	https://dailytimes.com.pk/1368573/government-pledges-swift-rehabilitation-for-flood-victims/
1263062799	20250914	202509	2025	2025.6959											IRL	IRELAND	IRL								0	043	043	04	1	2.8	1	1	1	2.05949656750572	0								4	Ballincollig, Cork, Ireland	EI	EI04	18286	51.8833	-8.58333	-1500370	4	Ballincollig, Cork, Ireland	EI	EI04	18286	51.8833	-8.58333	-1500370	20250914101500	https://www.irishexaminer.com/news/munster/arid-41704112.html
1263062800	20250914	202509	2025	2025.6959											IRL	IRELAND	IRL								0	043	043	04	1	2.8	5	1	5	2.05949656750572	0								4	Hollyhill, Cork, Ireland	EI	EI04	18286	51.6736	-9.83611	341659	4	Hollyhill, Cork, Ireland	EI	EI04	18286	51.6736	-9.83611	341659	20250914101500	https://www.irishexaminer.com/news/munster/arid-41704112.html
1263062801	20250914	202509	2025	2025.6959											IRL	TARA	IRL								1	046	046	04	1	7.0	10	1	10	1.93704600484262	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20250914101500	https://www.bollywoodlife.com/viral-stories/veer-pahariya-did-this-for-tara-sutaria-wins-hearts-amid-heavy-rain-3248760/
1263062802	20250914	202509	2025	2025.6959											ISR	ISRAEL	ISR								0	016	016	01	1	-2.0	12	3	12	-4.12926391382406	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250914101500	https://www.ipswichstar.co.uk/news/national/25465281.rubio-arrives-israel-strikes-intensify-northern-gaza/
1263062803	20250914	202509	2025	2025.6959											ISR	ISRAEL	ISR								1	057	057	05	1	8.0	1	1	1	-1.56366344005956	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250914101500	https://www.middleeasteye.net/opinion/investment-pact-india-moves-bind-economy-israel
1263062804	20250914	202509	2025	2025.6959											ISR	ISRAEL	ISR								1	057	057	05	1	8.0	4	1	4	-1.56366344005956	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250914101500	https://www.middleeasteye.net/opinion/investment-pact-india-moves-bind-economy-israel
1263062805	20250914	202509	2025	2025.6959											JUD	ADVOCATE						JUD			0	010	010	01	1	0.0	5	1	5	0.991884580703331	0								4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20250914101500	https://www.al-fanarmedia.org/2025/09/bulletin-scholarships-for-egyptian-high-school-graduates-palestine-protests-israeli-plan-to-demolish-school-near-hebron/
