1261587182	20250905	202509	2025	2025.6712											HLH	HOSPITAL						HLH			0	014	014	01	1	0.0	6	1	6	-5.67375886524823	0								4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	20250905234500	https://www.cbc.ca/news/canada/montreal/allergic-reaction-death-quebec-judge-1.7626503
1261587183	20250905	202509	2025	2025.6712											HLH	PHYSICIAN						HLH			0	040	040	04	1	1.0	8	1	8	-5.67375886524823	0								4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	20250905234500	https://www.cbc.ca/news/canada/montreal/allergic-reaction-death-quebec-judge-1.7626503
1261587184	20250905	202509	2025	2025.6712											HLH	HOSPITAL						HLH			1	040	040	04	1	1.0	5	1	5	0	0								3	Sumter County, Alabama, United States	US	USAL		32.4668	-88.2	161585	3	Sumter County, Alabama, United States	US	USAL		32.4668	-88.2	161585	20250905234500	https://www.wtok.com/2025/09/05/congresswoman-terri-sewell-hosts-roundtable-discussion-sumter-county/
1261587185	20250905	202509	2025	2025.6712											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	8	1	8	-5.67375886524823	0								4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	20250905234500	https://www.cbc.ca/news/canada/montreal/allergic-reaction-death-quebec-judge-1.7626503
1261587186	20250905	202509	2025	2025.6712											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	5	1	5	-0.0992063492063506	0								4	Portage La Prairie, Manitoba, Canada	CA	CA03	12575	49.9667	-98.3	-571542	4	Portage La Prairie, Manitoba, Canada	CA	CA03	12575	49.9667	-98.3	-571542	20250905234500	https://www.portageonline.com/articles/portage-family-leaning-on-support-during-medical-crisis
1261587187	20250905	202509	2025	2025.6712											IGOUNO	UNITED NATIONS		UNO				IGO			1	042	042	04	1	1.9	3	1	3	2.69814502529511	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250905234500	https://www.hellomagazine.com/celebrities/854227/bill-gates-daughter-phoebe-splits-paul-mccartney-grandson-new-romance/
1261587188	20250905	202509	2025	2025.6712											IGOUNO	UNITED NATIONS		UNO				IGO			1	042	042	04	1	1.9	1	1	1	2.69814502529511	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Stanford, Leicestershire, United Kingdom	UK	UKH5	40126	52.7833	-1.18333	-2608567	20250905234500	https://www.hellomagazine.com/celebrities/854227/bill-gates-daughter-phoebe-splits-paul-mccartney-grandson-new-romance/
1261587189	20250905	202509	2025	2025.6712											IGOUNO	UNITED NATIONS		UNO				IGO			1	042	042	04	1	1.9	1	1	1	2.69814502529511	0								4	Stanford, Leicestershire, United Kingdom	UK	UKH5	40126	52.7833	-1.18333	-2608567	4	Stanford, Leicestershire, United Kingdom	UK	UKH5	40126	52.7833	-1.18333	-2608567	20250905234500	https://www.hellomagazine.com/celebrities/854227/bill-gates-daughter-phoebe-splits-paul-mccartney-grandson-new-romance/
1261587190	20250905	202509	2025	2025.6712											ISR	ISRAEL	ISR								0	019	019	01	1	3.4	2	1	2	-7.94223826714802	0								4	Gaza City, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza City, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250905234500	https://www.lbc.co.uk/article/hamas-hostages-israel-bombards-gaza-5HjdCd8_2/
1261587191	20250905	202509	2025	2025.6712											ITA	ITALY	ITA								1	051	051	05	1	3.4	2	1	2	1.06382978723404	0								1	Italy	IT	IT		42.833333	12.833333	IT	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20250905234500	https://www.wzzm13.com/article/news/local/possible-portillos-coming-to-west-mi/69-40e129e9-3ed4-47d0-aad9-aedeb2f02031
1261587192	20250905	202509	2025	2025.6712											LAB	EMPLOYEE						LAB			0	130	130	13	3	-4.4	10	1	10	-3.9080459770115	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20250905234500	https://www.breitbart.com/politics/2025/09/05/josh-hawley-calls-for-repeal-of-big-tech-immunity-to-lawsuits-over-users-content-citing-dangers-of-ai/
1261587193	20250905	202509	2025	2025.6712											LEG	LAWMAKER						LEG			0	040	040	04	1	1.0	10	1	10	-1.28939828080229	0								3	Camp Mystic, Texas, United States	US	USTX		30.0085	-99.3703	1331993	3	Camp Mystic, Texas, United States	US	USTX		30.0085	-99.3703	1331993	20250905234500	https://www.kvue.com/article/news/politics/texas-legislature/texas-heavens-27-youth-camp-safety-bill-signed-governor-greg-abbott/269-1cebe520-b0e5-4779-9c04-924c1c61c855
1261587194	20250905	202509	2025	2025.6712											LEG	CONGRESSWOMAN						LEG			1	040	040	04	1	1.0	2	1	2	0	0								3	Sumter County, Alabama, United States	US	USAL		32.4668	-88.2	161585	3	Sumter County, Alabama, United States	US	USAL		32.4668	-88.2	161585	20250905234500	https://www.wtok.com/2025/09/05/congresswoman-terri-sewell-hosts-roundtable-discussion-sumter-county/
1261587195	20250905	202509	2025	2025.6712											LEG	CONGRESSWOMAN						LEG			1	042	042	04	1	1.9	2	1	2	0	0								3	Sumter County, Alabama, United States	US	USAL		32.4668	-88.2	161585	3	Sumter County, Alabama, United States	US	USAL		32.4668	-88.2	161585	20250905234500	https://www.wtok.com/2025/09/05/congresswoman-terri-sewell-hosts-roundtable-discussion-sumter-county/
1261587196	20250905	202509	2025	2025.6712											LEG	SENATE						LEG			0	051	051	05	1	3.4	10	1	10	-1.52505446623094	0								3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20250905234500	https://obrag.org/2025/09/a-very-significant-network-the-san-diego-community-coalition-to-meet-on-saturday-september-6-in-clairemont/
1261587197	20250905	202509	2025	2025.6712											MIL	NATIONAL GUARD						MIL			0	010	010	01	1	0.0	6	1	6	-5.59284116331097	0								3	Capitol Hill, District of Columbia, United States	US	USDC		38.889	-77.0003	529313	3	Capitol Hill, District of Columbia, United States	US	USDC		38.889	-77.0003	529313	20250905234500	https://www.breitbart.com/politics/2025/09/05/jeanine-pirro-two-teens-charged-in-murder-of-capitol-hill-intern-third-suspect-remains-at-large/
1261587198	20250905	202509	2025	2025.6712											MIL	MILITARY PERSONNEL						MIL			0	043	043	04	1	2.8	1	1	1	-1.56412930135558	0								3	Camp Mystic, Texas, United States	US	USTX		30.0085	-99.3703	1331993	3	Camp Mystic, Texas, United States	US	USTX		30.0085	-99.3703	1331993	20250905234500	https://www.dallasnews.com/news/politics/2025/09/05/were-broken-family-describes-loss-of-9-year-old-janie-hunt-in-the-hill-country-floods/
1261587199	20250905	202509	2025	2025.6712											MIL	ARMY						MIL			0	190	190	19	4	-10.0	10	1	10	-1.02459016393443	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250905234500	https://www.tribuneindia.com/news/india/need-theatre-commands-to-execute-tasks-during-conflict-says-army-chief/
