1270027435	20251021	202510	2025	2025.7973	GOV	GOVERNOR						GOV			MED	MEDIA						MED			0	010	010	01	1	0.0	2	1	2	-4.81220657276996	4	Nyeri, Central, Kenya	KE	KE01	18585	-0.420132	36.9476	-2260131	4	Nyeri, Central, Kenya	KE	KE01	18585	-0.420132	36.9476	-2260131	4	Nyeri, Central, Kenya	KE	KE01	18585	-0.420132	36.9476	-2260131	20251022121500	https://www.tuko.co.ke/politics/607092-gachagua-led-opposition-disowns-mutahi-kahiga-asks-ruto-discipline-belongs-uda/
1270027436	20251021	202510	2025	2025.7973	GOV	SECRETARY OF STATE						GOV			RUSGOV	SERGEY LAVROV	RUS					GOV			0	041	041	04	1	1.0	2	1	2	0.61255742725881	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	20251022121500	https://www.globalsecurity.org/wmd/library/news/russia/2025/10/russia-251021-russia-mfa04.htm
1270027437	20251021	202510	2025	2025.7973	GOV	PRESIDENT						GOV			USAGOV	THE WHITE HOUSE	USA					GOV			0	051	051	05	1	3.4	10	1	10	0.6125574272588	3	York County, Pennsylvania, United States	US	USPA	PA133	40.1254	-77	1209193	3	York County, Pennsylvania, United States	US	USPA		40.1254	-77	1209193	3	York County, Pennsylvania, United States	US	USPA		40.1254	-77	1209193	20251022121500	https://www.wgal.com/article/pennsylvania-deadly-crash-maria-campisi-tree-york-coroner/69119151
1270027438	20251021	202510	2025	2025.7973	KENGOV	KENYA	KEN					GOV			MED	MEDIA						MED			0	010	010	01	1	0.0	7	1	7	-4.81220657276996	4	Nyeri, Central, Kenya	KE	KE01	18585	-0.420132	36.9476	-2260131	4	Nyeri, Central, Kenya	KE	KE01	18585	-0.420132	36.9476	-2260131	4	Nyeri, Central, Kenya	KE	KE01	18585	-0.420132	36.9476	-2260131	20251022121500	https://www.tuko.co.ke/politics/607092-gachagua-led-opposition-disowns-mutahi-kahiga-asks-ruto-discipline-belongs-uda/
1270027439	20251021	202510	2025	2025.7973	LEG	LAWMAKER						LEG													0	010	010	01	1	0.0	10	1	10	0.6125574272588	3	York County, Pennsylvania, United States	US	USPA	PA133	40.1254	-77	1209193	0								3	York County, Pennsylvania, United States	US	USPA		40.1254	-77	1209193	20251022121500	https://www.wgal.com/article/pennsylvania-deadly-crash-maria-campisi-tree-york-coroner/69119151
1270027440	20251021	202510	2025	2025.7973	LEG	SENATOR						LEG			GOV	PRESIDENT						GOV			0	042	042	04	1	1.9	20	1	10	0.6125574272588	3	York County, Pennsylvania, United States	US	USPA	PA133	40.1254	-77	1209193	3	York County, Pennsylvania, United States	US	USPA		40.1254	-77	1209193	3	York County, Pennsylvania, United States	US	USPA		40.1254	-77	1209193	20251022121500	https://www.wgal.com/article/pennsylvania-deadly-crash-maria-campisi-tree-york-coroner/69119151
1270027441	20251021	202510	2025	2025.7973	PSE	WEST BANK	PSE								ISR	ISRAELI	ISR								1	100	100	10	3	-5.0	5	1	5	-9.09090909090909	4	Tulkarm, West Bank (general), West Bank	WE	WE00	18311	32.3104	35.0286	-796626	4	Tulkarm, West Bank (general), West Bank	WE	WE00	18311	32.3104	35.0286	-796626	4	Tulkarm, West Bank (general), West Bank	WE	WE00	18311	32.3104	35.0286	-796626	20251022121500	https://english.wafa.ps/Pages/Details/163599
1270027442	20251021	202510	2025	2025.7973	PSE	WEST BANK	PSE								ISR	ISRAELI	ISR								1	173	173	17	4	-5.0	5	1	5	-9.09090909090909	4	Ramallah, West Bank (general), West Bank	WE	WE00	68767	31.9026	35.1955	-795956	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20251022121500	https://english.wafa.ps/Pages/Details/163599
1270027443	20251021	202510	2025	2025.7973	RUSGOV	SERGEY LAVROV	RUS					GOV			GOV	SECRETARY OF STATE						GOV			0	041	041	04	1	1.0	2	1	2	0.61255742725881	4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	20251022121500	https://www.globalsecurity.org/wmd/library/news/russia/2025/10/russia-251021-russia-mfa04.htm
1270027444	20251021	202510	2025	2025.7973	RUSGOV	RUSSIA	RUS					GOV			RUSGOV	SERGEY LAVROV	RUS					GOV			0	041	041	04	1	1.0	2	1	2	0.61255742725881	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	2	Alaska, United States	US	USAK		61.385	-152.268	AK	4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	20251022121500	https://www.globalsecurity.org/wmd/library/news/russia/2025/10/russia-251021-russia-mfa04.htm
1270027445	20251021	202510	2025	2025.7973	RUSGOV	SERGEY LAVROV	RUS					GOV			RUSGOV	RUSSIA	RUS					GOV			0	041	041	04	1	1.0	2	1	2	0.61255742725881	2	Alaska, United States	US	USAK		61.385	-152.268	AK	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	20251022121500	https://www.globalsecurity.org/wmd/library/news/russia/2025/10/russia-251021-russia-mfa04.htm
