1266180374	20251001	202510	2025	2025.7425											BUS	COMPANIES						BUS			1	191	191	19	4	-9.5	1	1	1	-1.2108980827447	0								5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20251001081500	https://www.moneycontrol.com/news/india/crumbling-outer-ring-road-pushes-more-startups-firms-towards-north-bengaluru-whitefield-13592028.html
1266180375	20251001	202510	2025	2025.7425											COP	POLICE						COP			1	046	046	04	1	7.0	10	1	10	-2.24089635854341	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20251001081500	https://www.whsv.com/2025/10/01/broadway-police-dept-begins-first-steps-starting-home-alone-program-focused-elderly/
1266180376	20251001	202510	2025	2025.7425											COP	POLICE						COP			1	182	182	18	4	-9.5	2	1	2	-5.23560209424084	0								4	Hani I Elezit, Opstina Deneral Jankovic, Kosovo	KV	KV32	47631	42.15	21.2967	-78323	4	Hani I Elezit, Opstina Deneral Jankovic, Kosovo	KV	KV32	47631	42.15	21.2967	-78323	20251001081500	https://www.gazetaexpress.com/en/A-person-attacks-the-police-with-stones-at-Hani-i-Elezit--damaging-two-of-their-cars-because/
1266180377	20251001	202510	2025	2025.7425											CVL	VOTER						CVL			1	020	020	02	1	3.0	10	1	10	-0.21459227467811	0								4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	20251001081500	https://www.financialexpress.com/india-news/bihar-sir-turnaround-explained-how-election-commission-changed-voter-check-strategy-mid-way/3995315/
1266180378	20251001	202510	2025	2025.7425											CVL	COMMUNITY						CVL			1	020	020	02	1	3.0	10	1	10	4.95689655172414	0								4	Brockenhurst, Hampshire, United Kingdom	UK	UKF2	40112	50.8167	-1.56667	-2590983	4	Brockenhurst, Hampshire, United Kingdom	UK	UKF2	40112	50.8167	-1.56667	-2590983	20251001081500	https://www2.fundsforngos.org/disability/cfps-superior-stem-bursary-fund-united-kingdom/
1266180379	20251001	202510	2025	2025.7425											CVL	RESIDENTS						CVL			1	042	042	04	1	1.9	10	1	10	7.97101449275362	0								3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	20251001081500	https://www.thecomet.net/news/25505315.greenside-school-pupils-make-autumn-crafts-care-home/
1266180380	20251001	202510	2025	2025.7425											CVL	COMMUNITY						CVL			1	042	042	04	1	1.9	2	1	2	0.44776119402985	0								3	North East River, Maryland, United States	US	USMD		39.541	-76.0011	586257	3	North East River, Maryland, United States	US	USMD		39.541	-76.0011	586257	20251001081500	https://lancasteronline.com/features/food/find-history-shopping-crab-cakes-near-the-water-in-north-east-maryland/article_257fbfb5-91b3-4b6e-8620-6b653ed5c804.html
1266180381	20251001	202510	2025	2025.7425											CVL	TOURIST						CVL			0	130	130	13	3	-4.4	5	1	5	-1.46699266503668	0								4	Phuket, Phuket, Thailand	TH	TH62	26915	7.83333	98.3833	-3253342	4	Phuket, Phuket, Thailand	TH	TH62	26915	7.83333	98.3833	-3253342	20251001081500	https://thethaiger.com/news/phuket/phuket-mp-blasts-visa-free-policy-over-bad-tourist-surge
1266180382	20251001	202510	2025	2025.7425											CVL	MIGRANT						CVL			1	140	140	14	3	-6.5	10	1	10	-1.66975881261596	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251001081500	https://www.bbc.co.uk/news/articles/cj07vy7dy7go
1266180383	20251001	202510	2025	2025.7425											EDU	SCHOOL						EDU			0	036	036	03	1	4.0	2	1	2	0	0								3	Decatur, Alabama, United States	US	USAL	AL103	34.6059	-86.9833	117185	3	Decatur, Alabama, United States	US	USAL	AL103	34.6059	-86.9833	117185	20251001081500	https://www.decaturdaily.com/news/morgan_county/decatur/little-change-to-nonprofits-in-new-city-budget/article_9e565267-1248-4d39-b5ed-269cf9e47f48.html
1266180384	20251001	202510	2025	2025.7425											EDU	SCHOOL						EDU			0	042	042	04	1	1.9	6	1	6	2.19244823386114	0								3	Youngstown State University, Ohio, United States	US	USOH		41.1042	-80.647	1079975	3	Youngstown State University, Ohio, United States	US	USOH		41.1042	-80.647	1079975	20251001081500	https://www.butlereagle.com/20251001/annual-career-fair-helps-butler-high-schoolers-make-long-term-decisions/
1266180385	20251001	202510	2025	2025.7425											EDU	UNIVERSITY						EDU			1	042	042	04	1	1.9	5	1	5	1.94174757281553	0								2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	20251001081500	https://lancasteronline.com/obituaries/linda-zerphey-doran/article_370ad093-5e9c-561a-942e-c878f3445b54.html
1266180386	20251001	202510	2025	2025.7425											EDU	STUDENT						EDU			1	043	043	04	1	2.8	10	1	10	4.95689655172414	0								4	Brockenhurst, Hampshire, United Kingdom	UK	UKF2	40112	50.8167	-1.56667	-2590983	4	Brockenhurst, Hampshire, United Kingdom	UK	UKF2	40112	50.8167	-1.56667	-2590983	20251001081500	https://www2.fundsforngos.org/disability/cfps-superior-stem-bursary-fund-united-kingdom/
1266180387	20251001	202510	2025	2025.7425											EDU	SCHOOL						EDU			0	043	043	04	1	2.8	3	1	3	2.19244823386114	0								3	Youngstown State University, Ohio, United States	US	USOH		41.1042	-80.647	1079975	3	Youngstown State University, Ohio, United States	US	USOH		41.1042	-80.647	1079975	20251001081500	https://www.butlereagle.com/20251001/annual-career-fair-helps-butler-high-schoolers-make-long-term-decisions/
1266180388	20251001	202510	2025	2025.7425											EDU	STUDENT						EDU			1	051	051	05	1	3.4	15	1	15	1.94055036344755	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20251001081500	https://www2.fundsforngos.org/education/apply-now-santoor-womens-scholarship-program-india/
1266180389	20251001	202510	2025	2025.7425											EDU	SCHOOL						EDU			0	190	190	19	4	-10.0	5	1	5	-2.94396961063628	0								4	Gozo, Malta (general), Malta	MT	MT00	19480	36.0494	14.25	-18546	4	Gozo, Malta (general), Malta	MT	MT00	19480	36.0494	14.25	-18546	20251001081500	https://www.independent.com.mt/articles/2025-10-01/blogs-opinions/Mobile-phones-in-class-tool-or-distraction-6736273546
