1263215364	20250915	202509	2025	2025.6986											AGR	FARMER						AGR			1	120	120	12	3	-4.0	10	1	10	2.60869565217391	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20250915121500	https://economictimes.indiatimes.com/industry/auto/auto-news/govt-working-to-make-indias-auto-sector-no-1-globally-in-5-years-gadkari/articleshow/123900464.cms
1263215365	20250915	202509	2025	2025.6986											ARE	UNITED ARAB EMIRATES	ARE								0	0874	087	08	2	10.0	3	1	3	-7.00218818380744	0								4	Al Udeid, Abu Z¸aby, United Arab Emirates	AE	AE01	25307	24.6167	51.4	-782284	4	Al Udeid, Abu Z¸aby, United Arab Emirates	AE	AE01	25307	24.6167	51.4	-782284	20250915121500	https://www.washingtonexaminer.com/opinion/beltway-confidential/3807307/trump-should-punish-terrorist-flirtations-from-qatar-and-turkey/
1263215366	20250915	202509	2025	2025.6986											ARE	UNITED ARAB EMIRATES	ARE								0	0874	087	08	2	10.0	2	1	2	-7.00218818380744	0								4	Al Udeid, Abu Z¸aby, United Arab Emirates	AE	AE01	25307	24.6167	51.4	-782284	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20250915121500	https://www.washingtonexaminer.com/opinion/beltway-confidential/3807307/trump-should-punish-terrorist-flirtations-from-qatar-and-turkey/
1263215367	20250915	202509	2025	2025.6986											ARE	UNITED ARAB EMIRATES	ARE								0	0874	087	08	2	10.0	1	1	1	-7.00218818380744	0								4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	1	Turkey	TU	TU		39.059012	34.911546	TU	20250915121500	https://www.washingtonexaminer.com/opinion/beltway-confidential/3807307/trump-should-punish-terrorist-flirtations-from-qatar-and-turkey/
1263215368	20250915	202509	2025	2025.6986											AUS	MELBOURNE	AUS								0	042	042	04	1	1.9	2	1	2	2.78592375366569	0								4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	20250915121500	https://www.theguardian.com/stage/2025/sep/15/sydney-theatre-company-2026-season-program-john-farnham-musical-whispering-jack
1263215369	20250915	202509	2025	2025.6986											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	2	1	2	2.78592375366569	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20250915121500	https://www.theguardian.com/stage/2025/sep/15/sydney-theatre-company-2026-season-program-john-farnham-musical-whispering-jack
1263215370	20250915	202509	2025	2025.6986											AUSEDU	MELBOURNE	AUS					EDU			0	043	043	04	1	2.8	3	1	3	-2.78128950695322	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20250915121500	https://www.express.co.uk/news/uk/2108611/tommy-robinson-march-london-crowd-size
1263215371	20250915	202509	2025	2025.6986											BHS	BAHAMA	BHS								0	040	040	04	1	1.0	4	1	4	-9.59666203059803	0								4	Nassau, New Providence, Bahamas, The	BF	BF23	5747	25.0833	-77.35	-1543832	4	Nassau, New Providence, Bahamas, The	BF	BF23	5747	25.0833	-77.35	-1543832	20250915121500	https://nypost.com/2025/09/15/us-news/seth-koslow-dem-running-in-nassau-makes-troubling-rape-fantasy-claims/
1263215372	20250915	202509	2025	2025.6986											BHS	BAHAMA	BHS								0	1123	112	11	3	-2.0	4	1	4	-9.59666203059803	0								4	Nassau, New Providence, Bahamas, The	BF	BF23	5747	25.0833	-77.35	-1543832	4	Nassau, New Providence, Bahamas, The	BF	BF23	5747	25.0833	-77.35	-1543832	20250915121500	https://nypost.com/2025/09/15/us-news/seth-koslow-dem-running-in-nassau-makes-troubling-rape-fantasy-claims/
1263215373	20250915	202509	2025	2025.6986											BHSJUD	NASSAU	BHS					JUD			0	043	043	04	1	2.8	1	1	1	-9.59666203059803	0								4	Nassau, New Providence, Bahamas, The	BF	BF23	5747	25.0833	-77.35	-1543832	4	Nassau, New Providence, Bahamas, The	BF	BF23	5747	25.0833	-77.35	-1543832	20250915121500	https://nypost.com/2025/09/15/us-news/seth-koslow-dem-running-in-nassau-makes-troubling-rape-fantasy-claims/
