1267998520	20251011	202510	2025	2025.7699											CVL	INDIGENOUS PEOPLE						CVL			0	040	040	04	1	1.0	4	1	4	3.34728033472803	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20251011040000	http://www.sitkasentinel.com/stories/dinner-to-celebrate-indigenous-peoples-day,80745
1267998521	20251011	202510	2025	2025.7699											CVL	COMMUNITY						CVL			0	042	042	04	1	1.9	2	1	2	0.18018018018018	0								3	Knox County, Nebraska, United States	US	USNE		42.6333	-97.8837	835875	3	Knox County, Nebraska, United States	US	USNE		42.6333	-97.8837	835875	20251011040000	https://journalstar.com/news/state-regional/article_1eaef297-04e2-45a1-af66-0883cb6204ae.html
1267998522	20251011	202510	2025	2025.7699											GBR	WALES	GBR								0	130	130	13	3	-4.4	5	1	5	-4.78723404255319	0								4	Aberystwyth, Ceredigion, United Kingdom	UK	UKX6	40180	52.4167	-4.06667	-2587807	4	Aberystwyth, Ceredigion, United Kingdom	UK	UKX6	40180	52.4167	-4.06667	-2587807	20251011040000	https://wrexham.com/news/wales-national-library-on-high-alert-over-cyber-attacks-278694.html
1267998523	20251011	202510	2025	2025.7699											GBR	UNITED KINGDOM	GBR								0	138	138	13	3	-7.0	2	1	2	-4.78723404255319	0								4	Aberystwyth, Ceredigion, United Kingdom	UK	UKX6	40180	52.4167	-4.06667	-2587807	4	Aberystwyth, Ceredigion, United Kingdom	UK	UKX6	40180	52.4167	-4.06667	-2587807	20251011040000	https://wrexham.com/news/wales-national-library-on-high-alert-over-cyber-attacks-278694.html
1267998524	20251011	202510	2025	2025.7699											GBR	BRITISH	GBR								1	190	190	19	4	-10.0	10	1	10	-4.78723404255319	0								4	Aberystwyth, Ceredigion, United Kingdom	UK	UKX6	40180	52.4167	-4.06667	-2587807	4	Aberystwyth, Ceredigion, United Kingdom	UK	UKX6	40180	52.4167	-4.06667	-2587807	20251011040000	https://wrexham.com/news/wales-national-library-on-high-alert-over-cyber-attacks-278694.html
1267998525	20251011	202510	2025	2025.7699											GOV	MAYOR						GOV			0	036	036	03	1	4.0	2	1	2	3.76016260162602	0								4	Nemuro, Hokkaido, Japan	JA	JA12	34276	43.3236	145.575	-238619	4	Nemuro, Hokkaido, Japan	JA	JA12	34276	43.3236	145.575	-238619	20251011040000	http://www.sitkasentinel.com/stories/city-delegation-renews-ties-with-japan-sister-city,80746
1267998526	20251011	202510	2025	2025.7699											GOV	STATE OFFICIAL						GOV			0	042	042	04	1	1.9	10	1	10	1.26291618828933	0								3	Leesburg, Virginia, United States	US	USVA	VA107	39.1157	-77.5636	1498505	3	Leesburg, Virginia, United States	US	USVA	VA107	39.1157	-77.5636	1498505	20251011040000	https://www.islands.com/1990107/bluemont-virginia-blue-ridge-mountains-village-peaceful-trails-picturesque-vineyard/
1267998527	20251011	202510	2025	2025.7699											GOV	AMBASSADOR						GOV			1	043	043	04	1	2.8	3	1	3	4.87329434697856	0								4	Kilchberg, Switzerland (general), Switzerland	SZ	SZ00	26310	47.3183	8.55117	-2552641	4	Kilchberg, Switzerland (general), Switzerland	SZ	SZ00	26310	47.3183	8.55117	-2552641	20251011040000	https://www.freepressjournal.in/lifestyle/sweet-escape-inside-lindts-home-of-chocolate
1267998528	20251011	202510	2025	2025.7699											GOV	ADMINISTRATION						GOV			1	100	100	10	3	-5.0	10	1	10	-4.10094637223975	0								3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	20251011040000	https://timesofsandiego.com/politics/2025/10/10/trump-administration-pushes-to-delay-challenges-in-immigration-cases/
1267998529	20251011	202510	2025	2025.7699											GOV	GOVERNMENT						GOV			1	170	170	17	4	-7.0	10	1	10	-2.27272727272727	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20251011040000	https://freebeacon.com/trump-administration/trump-administration-lays-off-last-of-minority-business-development-agency/
